Week_Start_Date,Units_Sold,Unit_Price_PKR,Promotion_Flag,Notes
2024-01-01,64440,280.00,0,
2024-01-08,58126,280.20,0,
2024-01-15,66636,280.39,0,
2024-01-22,67582,280.59,0,
2024-01-29,53928,280.78,0,
2024-02-05,72417,281.18,1,Retail promotion
2024-02-12,61439,281.17,0,
2024-02-19,62764,281.37,0,
2024-02-26,66832,281.56,0,
2024-03-04,65528,281.76,0,
2024-03-11,66624,281.95,0,
2024-03-18,70194,282.15,0,
2024-03-25,80943,282.34,1,Ramadan demand uplift; Retail promotion
2024-04-01,84567,282.54,0,Ramadan demand uplift
2024-04-08,89772,282.73,0,Eid week
2024-04-15,67832,282.93,0,Eid week
2024-04-22,66028,283.12,0,
2024-04-29,65661,283.32,0,
2024-05-06,71965,283.51,1,Retail promotion
2024-05-13,62844,283.71,0,
2024-05-20,65587,283.90,0,
2024-05-27,62394,284.10,0,
2024-06-03,66458,284.29,0,
2024-06-10,64224,284.49,0,
2024-06-17,61782,284.68,0,
2024-06-24,64074,284.88,0,
2024-07-01,57946,285.07,0,
2024-07-08,59258,285.27,0,
2024-07-15,54532,285.46,0,Monsoon disruption
2024-07-22,57201,285.66,0,
2024-07-29,57092,285.85,0,
2024-08-05,67420,286.25,1,Retail promotion
2024-08-12,54185,286.24,0,
2024-08-19,55648,286.44,0,
2024-08-26,57831,286.63,0,
2024-09-02,62644,286.83,0,
2024-09-09,59438,287.02,0,
2024-09-16,63105,287.22,0,
2024-09-23,60517,287.41,0,
2024-09-30,63167,287.61,0,
2024-10-07,70772,288.00,1,Retail promotion
2024-10-14,62521,288.00,0,
2024-10-21,63947,288.20,0,
2024-10-28,62104,288.39,0,
2024-11-04,65198,288.59,0,
2024-11-11,61723,288.78,0,
2024-11-18,63148,288.98,0,
2024-11-25,63583,289.17,0,
2024-12-02,67143,289.37,0,
2024-12-09,79921,289.56,1,Retail promotion
2024-12-16,69078,289.76,0,
2024-12-23,73014,289.95,0,
2024-12-30,70745,290.15,0,
2025-01-06,68756,290.54,0,
2025-01-13,63613,290.54,0,
2025-01-20,70027,290.74,0,
2025-01-27,65332,290.93,0,
2025-02-03,71737,291.13,0,
2025-02-10,73511,291.32,1,Retail promotion
2025-02-17,66884,291.52,0,
2025-02-24,67563,291.71,0,
2025-03-03,69614,291.91,0,
2025-03-10,68754,292.10,0,
2025-03-17,83792,292.30,0,Ramadan demand uplift
2025-03-24,93276,292.49,1,Ramadan demand uplift; Retail promotion
2025-03-31,86443,292.69,0,Eid week
2025-04-07,69888,292.88,0,Eid week
2025-04-14,69982,293.08,0,
2025-04-21,71205,293.27,0,
2025-04-28,72421,293.47,0,
2025-05-05,85563,293.86,1,Retail promotion
2025-05-12,67458,293.86,0,
2025-05-19,69862,294.05,0,
2025-05-26,69117,294.25,0,
2025-06-02,70053,294.44,0,
2025-06-09,71522,294.64,0,
2025-06-16,68572,294.83,0,
2025-06-23,71646,295.03,0,
2025-06-30,68135,295.22,0,
2025-07-07,67587,295.42,0,
2025-07-14,59113,295.61,0,Monsoon disruption
2025-07-21,62976,295.81,0,
2025-07-28,63346,296.00,0,
2025-08-04,75028,296.40,1,Retail promotion
2025-08-11,62788,296.40,0,
2025-08-18,60271,296.59,0,
2025-08-25,62493,296.79,0,
2025-09-01,64865,296.98,0,
2025-09-08,63982,297.18,0,
2025-09-15,65073,297.37,0,
2025-09-22,64652,297.57,0,
2025-09-29,68309,297.76,0,
2025-10-06,82494,298.16,1,Retail promotion
2025-10-13,66835,298.15,0,
2025-10-20,68196,298.35,0,
2025-10-27,66447,298.54,0,
2025-11-03,69972,298.74,0,
2025-11-10,65587,298.93,0,
2025-11-17,68127,299.13,0,
2025-11-24,59688,299.32,0,
2025-12-01,62260,299.52,0,
2025-12-08,84440,299.91,1,Retail promotion
2025-12-15,62445,299.91,0,
2025-12-22,67751,300.10,0,
